epoch,step,test/acc,test/loss,train/acc,train/loss,val/acc,val/loss
0,10,,,,,0.43003037571907043,1.3380047082901
0,10,,,0.29994630813598633,1.3722957372665405,,
1,21,,,,,0.5626012682914734,1.2786132097244263
1,21,,,0.490023672580719,1.302764654159546,,
2,32,,,,,0.5824089050292969,1.1972472667694092
2,32,,,0.5883017778396606,1.2170149087905884,,
3,43,,,,,0.6026821732521057,1.103774905204773
3,43,,,0.6297842264175415,1.1118168830871582,,
4,54,,,,,0.573066771030426,1.0233113765716553
4,54,,,0.6441909074783325,1.0046663284301758,,
5,65,,,,,0.6401821970939636,0.9559394717216492
5,65,,,0.6518389582633972,0.9013707041740417,,
6,76,,,,,0.6395242810249329,0.918500542640686
6,76,,,0.667674720287323,0.8280372619628906,,
7,87,,,,,0.629524290561676,0.8901290893554688
7,87,,,0.7127377986907959,0.7677253484725952,,
8,98,,,,,0.629524290561676,0.8525450825691223
8,98,,,0.7231831550598145,0.7103703022003174,,
9,109,,,,,0.6620243191719055,0.819347083568573
9,109,,,0.7346510887145996,0.6777006983757019,,
10,110,0.5864401459693909,0.9980577230453491,,,,
